id	log2FoldChange	padj	significant	label
E00851	0.00581917	0.9228750700729	Unchanged	-
E00852	-0.452186	4.37443480858094e-89	Unchanged	-
E00853	0.88744	5.34720513060286e-59	Unchanged	-
E00854	0.412773	0.676276062918241	Unchanged	-
E00855	0.232264	0.602996629510328	Unchanged	-
E00857	0.521414	0.0132840007960813	Unchanged	-
E00858	1.30526	2.29465210549531e-19	EHBIO_UP	-
E00860	-1.44545	0.0171463564506295	Baodian_UP	-
E00861	-0.518862	0.0364595270062901	Unchanged	-
E00866	0.834776	3.07705532709796e-70	Unchanged	-
E00867	-1.05445	9.61521332484106e-143	Baodian_UP	-
E00869	0.521518	3.27646748086647e-06	Unchanged	-
E00873	0.065208	1	Unchanged	-
E00875	1.07105	2.13973285670448e-132	EHBIO_UP	-
E00878	-1.13405	0.557118450808476	Unchanged	-
E00879	0.792109	2.19901712363848e-44	Unchanged	-
E00881	0.198317	0.00125790967126653	Unchanged	-
E00885	1.6864	1.30221462639644e-36	EHBIO_UP	-
E00886	0.712622	0.000216373514088166	Unchanged	-
E00888	0.0926141	0.0626536089385744	Unchanged	-
E00889	-1.47631	0.0196178533772591	Baodian_UP	-
E00891	0.355502	0.0216404402204892	Unchanged	-
E00893	-0.741774	7.7272403708963e-28	Unchanged	-
E00894	3.61021	6.54604133384791e-310	Unchanged	-
E00895	-0.336325	0.000246188857040796	Unchanged	-
E00897	0.478142	0.960966568518151	Unchanged	-
E00900	0.528065	1.29964172549798e-12	Unchanged	-
E00901	0.348596	1.14521532862635e-05	Unchanged	-
E00902	0.194437	0.000500819045103141	Unchanged	-
E00903	-0.299411	0.00183745908712705	Unchanged	-
E00904	0.448625	0.960966568518151	Unchanged	-
E00905	-0.509705	0.705544309393045	Unchanged	-
E00906	-1.23634	1.08691590776903e-09	Baodian_UP	-
E00907	1.98879	1.03740342537234e-29	EHBIO_UP	-
E00909	-0.26273	0.000553340043611512	Unchanged	-
E00913	-0.74665	4.44376416698685e-21	Unchanged	-
E00916	0.478142	0.960966568518151	Unchanged	-
E00917	1.2844	5.26198915181499e-11	EHBIO_UP	-
E00918	-1.18135	7.85822541192958e-48	Baodian_UP	-
E00920	0.0541596	1	Unchanged	-
E00921	-1.06351	8.65492803850615e-122	Baodian_UP	-
E00922	-0.982858	2.09566362854993e-64	Unchanged	-
E00923	-0.000109591	1	Unchanged	-
E00924	-1.0168	1.5522500149899e-39	Baodian_UP	-
E00925	0.141915	0.264156995494447	Unchanged	-
E00926	0.329311	7.46124852025156e-05	Unchanged	-
E00931	-0.189327	0.000228320987500394	Unchanged	-
E00934	0.448625	0.960966568518151	Unchanged	-
E00936	-0.378507	6.29560421428202e-08	Unchanged	-
E00937	0.522703	0.0279275124462814	Unchanged	-
E00938	0.152553	3.13444561372043e-08	Unchanged	-
E00940	-1.38777	5.58819944033398e-34	Baodian_UP	-
E00942	-0.642093	2.61357415665784e-17	Unchanged	-
E00952	-0.6382	0.00135479172443646	Unchanged	-
E00954	0.955842	1.32836601641173e-85	Unchanged	-
E00955	-0.292496	0.0625277393238533	Unchanged	-
E00956	1.15939	2.88072580444966e-10	EHBIO_UP	-
